finding_id,area,verdict,severity,blocking,source,counterexample_or_check,scientific_or_operational_consequence,smallest_correction
SRC-001,source_integrity,PASS,none,False,attached archive; Output-15 artifact manifest; runtime_binding.csv,Input ZIP SHA matched; six Output-15 component hashes matched; application tree independently reconstructed as 29f938a...,Reviewed source is bound to implementation commit evidence.,None.
SRC-002,tracked_evidence_manifest,NONBLOCKING_CORRECTION,low,False,docs/audits/rqr_dlm_output15_reference_evidence_20260725/tracked_evidence_hashes.csv,Prompt row records 13661 bytes/1695e...; reviewed final prompt is 14932 bytes/57b9....,"Does not alter implementation or scientific evidence, but manifest is not self-consistent.",Refresh the one prompt row after finalizing the prompt.
DES-001,design_fidelity,PASS,none,False,external_reviews/chatgpt_pro_output15_20260724/*design_matrix* and *run_budget*,"Recomputed 208 rows, 89 included, 119 omitted and all initial/central/maximum call/fit/chain totals.",No hidden tuning study; ADEMP comparisons and omissions are explicit.,None.
DGP-001,DGP_and_rng,PASS,none,False,"rqr_dlm_confirmatory_simulation.R:330-815, 819-1433","Full-state collision checks, pre-data sentinel streams, 20 future substreams, stochastic seasonal innovations, separated state/response keys.",Paired repeated-sampling design is coherent and reproducible.,None.
ORC-001,oracle_mathematics,PASS,none,False,application/R/rqr_oracle.R; 13_run_rqr_dlm_main_simulation_references.R,"Independently solved coverage/moment equations and directly integrated risk for Gaussian, standardized lognormal, t5, and normal+t mixture at c=.8,.9.",Oracle root and risk targets used for endpoint recovery are mathematically supported.,None.
CMP-001,comparators,PASS,none,False,rqr_confirm_dynamic_quantile(); rqr_confirm_static_quantile(),exdqlm reduced-AL contract and quantreg rq(method=br) are isolated; raw endpoint forecasts retained before metric ordering.,Comparator targets are distinguishable and fair.,None.
RUN-001,runtime_and_authorization,PASS,none,False,runtime attestation v5; rqr_confirm_flag_only_authorization_diff(); rqr_confirm_authorized(),"Authorization binds exact one-line diff, isolated runtime, reference manifests, comparator sources, toolchain and explicit confirmation.",Changed source cannot reuse an old authorization bundle.,None.
WAV-001,wave_execution_order,NO_GO,high,True,"application/scripts/17_launch_rqr_dlm_confirmatory_wave.R:48-69, 163-217; rqr_confirm_wave_plan():3263-3350",Request any later canonical standard wave directly; launcher does not require prior sentinel or batch-decision evidence.,"Sentinel/batch stop safeguards can be skipped, undermining launch recovery and confirmatory integrity.",Authorization-bound next-wave state machine requiring same-batch sentinel pass and prior batch decision; reject skips/replays/cross-run predecessors.
DIA-001,MCMC_diagnostic_scope,NO_GO,high,True,rqr_confirm_scalar_draws():3353-3452; rqr_confirm_chain_diagnostics():3454-3527,Compensating time-local path deviations can preserve all aggregate diagnostics while terminal and future roots differ.,Horizon-specific root/coverage conclusions can rely on chains not shown to mix in the generating terminal/future functions.,"Frozen exact diagnostic schema including terminal, reported-horizon future conditional means, and predeclared time-specific endpoint functions; no column intersection."
PRE-001,replication_precision,PASS_CONDITIONAL,none,False,rqr_confirm_mcse(); rqr_confirm_paired_contrasts(); rqr_confirm_batch_decisions(),"Replication is independent unit; paired differences use common replications; stopping uses MCSE and complete batches, not effect sign or TOST.",Precision-driven stopping is appropriate once MCMC diagnostics cover the relevant future/terminal functions.,Complete DIA-001.
COL-001,collection_and_failure,PASS,none,False,rqr_confirm_collect_outputs(); worker/wave atomic manifest helpers,"Exact task sets, recursive bytes/files, symlink rejection, common provenance and failure retention are required.",Incomplete or selectively deleted shards cannot be silently analyzed.,None beyond WAV-001 cross-wave state.
EVD-001,execution_evidence,ACCEPTED_AS_TRACKED_NOT_RERUN,none,False,preflight_gates.csv; reference_gates.csv; validation_matrix.csv; runtime_binding.csv,Compact hashes/source contracts inspected; R unavailable in review environment.,"Do not describe 22/22, 15/15, R CMD check or builds as independently rerun by this review.",None; retain accurate evidence language.
