legacy_name,canonical_name,object_type,scope,status,first_canonical_version,removal_version,historical_exception,notes
RQR,MPI or MTI depending tilt,terminology,manuscript/software,compatibility retained,0.1.0.9036,TBD,true,"RQR remains for Pouplin et al. attribution, published variants, legacy wrappers, and frozen evidence."
ordinary RQR,MPI,terminology,active manuscript and docs,migrated,0.1.0.9036,TBD,false,"Use MPI loss, MPI target, or MPI regression."
mean-tilted RQR,MTI,terminology,active manuscript and docs,migrated,0.1.0.9036,TBD,false,"Use MTI loss, MTI family, or MTI regression."
MT-RQR,MTI,terminology,active manuscript and validation labels,migrated,0.1.0.9036,TBD,false,"Use MTI unless referring to old fixed-target labels in frozen artifacts."
TCSP-MT-RQR,TCSP-MTI,terminology,active TCSP docs and validation labels,migrated,0.1.0.9036,TBD,false,"The empirical tolerance action remains the scan-calibrated order-statistic window."
RQR-DESN,MPI-DESN or MTI-DESN,terminology,active manuscript and docs,partially migrated,0.1.0.9036,TBD,true,"Retained for pinned exdqlm compatibility and frozen evidence."
RQR-DLM,MPI-DLM or MTI-DLM,terminology,active manuscript and docs,partially migrated,0.1.0.9036,TBD,true,"Retained in historical audits and old run manifests."
rqr_*,MPI/MTI/TCSP/DP/DPM canonical wrappers,public API,package namespace,compatibility retained,0.1.0.9036,TBD,true,"Legacy wrappers remain because existing tests, scripts, and serialized objects depend on them."
rqrgibbs,mtiintervals,package name,package metadata and runtime,package rename deferred,0.1.0.9036,TBD,true,"Package rename is deferred until Rcpp, useDynLib, tarball, cache, and runtime attestations are migrated."
RQR-GIBBS,MTI-INTERVALS,repository name,GitHub and local path,repository rename deferred,0.1.0.9036,TBD,true,"Repository rename should follow package migration and successful validation."
rqr-gibbs-supplement.tex,mti-intervals-supplement.tex,TeX filename,build system,filename rename deferred,0.1.0.9036,TBD,true,"Content is migrated first; filename rename needs Makefile/arXiv packaging updates."
tcsp_mtrqr_*,tcsp_mti_*,method IDs,active validation config and scripts,migrated with parser aliases,0.1.0.9036,TBD,false,"Launch scripts canonicalize old IDs on read."
mtrqr_gibbs,mti_gibbs,engine ID,active validation config and scripts,migrated with parser aliases,0.1.0.9036,TBD,false,"Launch scripts accept old engine keys and copy them to canonical keys."
mtrqr_ecm,mti_ecm,engine ID,active validation config and scripts,migrated with parser aliases,0.1.0.9036,TBD,false,"Launch scripts accept old engine keys and copy them to canonical keys."
rqrgibbs_* schemas,mtiintervals_* schemas,schema namespace,serialized objects,new schema deferred,0.1.0.9036,TBD,true,"Old schemas must not be silently reinterpreted; migration helper remains a later package-rename task."
PouplinEtAl2024RQR,PouplinEtAl2024RQR,bibliography key,bibliography,retained,0.1.0.9036,never,true,"Bibliography keys and source titles preserve original names."
RQR-W,RQR-W,prior-work method name,manuscript comparisons,retained,0.1.0.9036,never,true,"Published variant name from prior work."
RQR-O,RQR-O,prior-work method name,manuscript comparisons,retained,0.1.0.9036,never,true,"Published variant name from prior work."
